name,station_code,service_provider_name,latitude,longitude,route_id,route_name,line_number,line_colour,colour_hex_code,region
Taman Pertama,KG23,Rapid KL,3.11255,101.72937,KG,Kajang Line,9,Green,#008000,Klang Valley
Taman Midah,KG24,Rapid KL,3.10451,101.73219,KG,Kajang Line,9,Green,#008000,Klang Valley
Taman Mutiara,KG25,Rapid KL,3.09099,101.74045,KG,Kajang Line,9,Green,#008000,Klang Valley
Taman Connaught,KG26,Rapid KL,3.07917,101.74522,KG,Kajang Line,9,Green,#008000,Klang Valley
Taman Suntex,KG27,Rapid KL,3.07158,101.76355,KG,Kajang Line,9,Green,#008000,Klang Valley
Sri Raya,KG28,Rapid KL,3.06227,101.7729,KG,Kajang Line,9,Green,#008000,Klang Valley
Bandar Tun Hussien Onn,KG29,Rapid KL,3.04822,101.77511,KG,Kajang Line,9,Green,#008000,Klang Valley
Batu 11 Cheras,KG30,Rapid KL,3.04134,101.77338,KG,Kajang Line,9,Green,#008000,Klang Valley
Bukit Dukung,KG31,Rapid KL,3.02641,101.77107,KG,Kajang Line,9,Green,#008000,Klang Valley
Sungai Jernih,KG33,Rapid KL,3.00095,101.78386,KG,Kajang Line,9,Green,#008000,Klang Valley
Stadium Kajang,KG34,Rapid KL,2.99451,101.78634,KG,Kajang Line,9,Green,#008000,Klang Valley
Kajang,KG35,Rapid KL,2.98278,101.79028,KG,Kajang Line,9,Green,#008000,Klang Valley
KL Sentral,KS01,Keretapi Tanah Melayu,3.132675,101.687891,KS,Skypark Link,10,Brown,#A52A2A,Klang Valley
Subang Jaya,KS02,Keretapi Tanah Melayu,3.08466,101.588127,KS,Skypark Link,10,Brown,#A52A2A,Klang Valley
Terminal Skypark,KS03,Keretapi Tanah Melayu,3.13442,101.55543,KS,Skypark Link,10,Brown,#A52A2A,Klang Valley
Sunway-Setia Jaya,SB1,Rapid Bus,3.08292,101.61228,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B,Klang Valley
Mentari,SB2,Rapid Bus,3.07613,101.61023,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B,Klang Valley
Sunway Lagoon,SB3,Rapid Bus,3.07065,101.61079,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B,Klang Valley
Sunmed,SB4,Rapid Bus,3.06554,101.60861,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B,Klang Valley
SunU Monash,SB5,Rapid Bus,3.0653,101.60161,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B,Klang Valley
South Quay-USJ1,SB6,Rapid Bus,3.06162,101.59681,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B,Klang Valley
USJ7,SB7,Rapid Bus,3.05525,101.59198,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B,Klang Valley
Sungai Buloh,PY04,Rapid KL,3.206333,101.581736,PY,Putrajaya Line,12,Yellow,#facd04,Klang Valley
Kampung Selamat,PY03,Rapid KL,3.19727,101.5785,PY,Putrajaya Line,12,Yellow,#facd04,Klang Valley
Kwasa Damansara,PY01,Rapid KL,3.17615,101.57205,PY,Putrajaya Line,12,Yellow,#facd04,Klang Valley
Damansara Damai,PY05,Rapid KL,3.19976,101.59287,PY,Putrajaya Line,12,Yellow,#facd04,Klang Valley
Sri Damansara Barat,PY06,Rapid KL,3.19822,101.60842,PY,Putrajaya Line,12,Yellow,#facd04,Klang Valley
Sri Damansara Sentral,PY07,Rapid KL,3.19854,101.62113,PY,Putrajaya Line,12,Yellow,#facd04,Klang Valley
Sri Damansara Timur,PY08,Rapid KL,3.20758,101.62859,PY,Putrajaya Line,12,Yellow,#facd04,Klang Valley
Metro Prima,PY09,Rapid KL,3.20758,101.62859,PY,Putrajaya Line,12,Yellow,#facd04,Klang Valley
Kepong Baru,PY10,Rapid KL,3.2116819,101.6481798,PY,Putrajaya Line,12,Yellow,#facd04,Klang Valley
Jinjang,PY11,Rapid KL,3.20954,101.65579,PY,Putrajaya Line,12,Yellow,#facd04,Klang Valley
Sri Delima,PY12,Rapid KL,3.2072,101.66556,PY,Putrajaya Line,12,Yellow,#facd04,Klang Valley
Kampung Batu,PY13,Rapid KL,3.206,101.67514,PY,Putrajaya Line,12,Yellow,#facd04,Klang Valley
Kentonmen,PY14,Rapid KL,3.19541,101.6796,PY,Putrajaya Line,12,Yellow,#facd04,Klang Valley
Jalan Ipoh,PY15,Rapid KL,3.18934,101.68115,PY,Putrajaya Line,12,Yellow,#facd04,Klang Valley
Sentul Barat,PY16,Rapid KL,3.17881,101.68516,PY,Putrajaya Line,12,Yellow,#facd04,Klang Valley
